Title,Class
"Italianità, eine Begriffsgeschichte",32
"Nach Hitler kommen wir, Dokumente zur Programmatik der Moskauer KPD-Führung 1944/45 für Nachkriegsdeutschland",32
Stimmtraining,78
"Chancen und Grenzen in der Zusammenarbeit von Kindergarten und Grundschule, Professionalisierung durch Kooperation",37
"Alltag und Aufzeichnung, Untersuchungen zu Canetti, Bender, Handke und Schnurre",83
"Komm nun, mein Liebster, dein Garten ruft dich!, das Hohelied als programmatische Komposition",22
"Bedeutung, Entstehung und frühe Wirkungsgeschichte, Das Namensmißbrauch-Verbot (Ex 20,7, Dtn 5,11)",22
"Beethovens Oper Fidelio, ihre Geschichte und ihre drei Fassungen, Das Fidelio-Buch",78
"Change Management in komplexen Situationen, Werkzeuge - Organisation - Führung",65
Berücksichtigung der Informationsunsicherheitsprämie im Capital Asset Pricing Model,33
Das Cabinet des Dr. Caligari,79
"Die chemische Entwicklungserregung des tierischen Eies, Künstliche Parthenogenese",57
"Verteilungskampf, Warum Deutschland immer ungleicher wird",30
Standardoperationen in Orthopädie und Unfallchirurgie,61
"Im Bereich einer Nacht, Roman",83
"Praxishandbuch Sprache macht Demokratie, politische Bildung in der Einwanderungsgesellschaft",32
Der Filmkomponist Max Steiner (1888-1971),78
Ersatz für den Verlust von Urlaub oder Freizeit nach deutschem und griechischem Recht,34
Die Natur der Natur,10
"Die Restitution nach § 3 Abs. 1 Satz 4 VermG für in der NS-Zeit vorgenommene Entziehungen von Unternehmensanteilen aus verfassungsrechtlicher Sicht, Wiedergutmachung im Beitrittsgebiet",34
"Nachwachsende Rohstoffe, Technikbewertung zwischen den Leitbildern Wachstum und Nachhaltigkeit",30
"Volkstracht in Baden, ihre Rolle in Kunst, Staat, Wirtschaft und Gesellschaft seit zwei Jahrhunderten",39
Ärztlich assistierter Suizid und organisierte Sterbehilfe,34
"Lehrbuch des gesamten Medienrechts unter besonderer Berücksichtigung von Presse, Rundfunk und Multimedia, Medienrecht",34
"Mehrwertsteuersystemrichtlinie, Praxiskommentar",34
"Erinnern des Holocaust?, eine neue Generation sucht Antworten",94
