Title,Class
"2004 - The Unified Modeling Language. Modelling Languages and Applications, 7th International Conference, Lisbon, Portugal, October 11-15, 2004. Proceedings",0
Selected problems in real analysis,5
"Lévi-Strauss, Ford, Lessing, Benjamin, de Man, Wordsworth, Rilke, Telling time",8
"A Problem-Solution Approach, Windows Phone 7 Recipes",0
"Predictive modeling with SAS Enterprise Miner, practical solutions for business applications",0
"The architecture and properties of matter, an approach through models",5
"Nursing, the finest art, an illustrated history",6
"Industrial applications and dynamics of the nano-optical system, with 8 tables",5
"Inverse nodal problems, finding the potential from nodal lines",5
"The myth of the rational market, a history of risk, reward, and delusion on Wall Street",3
"Rationality, a philosophical inquiry into the nature and the rationale of reason",1
"Linear optimization and approximation, an introduction to the theoretical analysis and numerical treatment of semi-infinite programs",5
"The comprehensive guide to successful conferences and meetings, detailed instructions and step-by-step checklists",6
"The splendour of power, early medieval kingship and the use of gold and silver in the southern North Sea area ; (5th to 7th century AD)",9
"CICS Performance Analyser V1.2, IBM Tools",0
"DIY Wi-Fi controlled robots, ESP8266 robotics projects",0
"125 essential techniques, Adobe Acrobat 9 how-tos",0
"Adorno and Benjamin, The problems of modernity",1
"Seemingly unrelated regression equations models, estimation and inference",5
The Stability of the Differentiated State,5
Operative Techniques in Laryngology,6
"Foundations of genetic algorithms, 2",5
Inorganic Gas Chromatography,5
"Leadership standards in action, the school principal as servant-leader",3
Integrability of nonlinear systems,5
Refractive Lens Surgery,6
"Algorithms of oppression, how search engines reinforce racism",0
"Current developments in the interface, economics, econometrics, mathematics ; state of the art surveys",3
The Theology of the Acts of the Apostles,2
"Energy Transitions in Japan and China, Mine Closures, Rail Developments, and Energy Narratives",3
"Embedded Security in Cars, Securing Current and Future Automotive IT Applications",6
Handbook on the international political economy of gender,3
Trust-region methods,5
"Contours of a biblical reception theory, studies in the Rezeptionsgeschichte of Romans 13.1 - 7",2
"Murillo's allegories of salvation and triumph, the Parable of the prodigal son and the Life of Jacob",7
Social navigation of information space,3
"Work and the challenges of belonging, migrants in globalizing economies",3
"Business and politics, a study of collective action",3
"11th European Conference on Technology Enhanced Learning, EC-TEL 2016, Lyon, France, September 13-16, 2016, Proceedings, Adaptive and Adaptable Learning",3
Smaragdi abbatis expositio in regulam S. Benedicti,2
Immortalism in a temporal world,1
Pro Oracle Application Express 4,0
"1969 to the present, Contemporary United States",9
Perspectives on nursing theory,6
Algorithms and Parallel Computing,0
"Tax policy in OECD countries, choices and conflicts",3
"An Analysis and Annotated Translation, Ibn Sina's Remarks and Admonitions: Physics and Metaphysics",1
"Doing business in the Slovak Republic, Investitionen und Steuern in der Slowakei =",3
The Romans debate,2
"International Symposium, MIS 2002, Esbjerg, Denmark, August 7-10, 2002. Revised Papers, Metainformatics",0
"An Advanced Solution, Group Testing Theory in Network Security",0
Rhythmic phenomena in plants,5
"Environmental learning, insights from research into the student experience",3
"Semiconductor lasers, stability, instability and chaos",5
Languages of Scotland,4
"10th International Workshop, WALCOM 2016, Kathmandu, Nepal, March 29-31, 2016, Proceedings, WALCOM: Algorithms and Computation",0
"An Introduction, Geometric Group Theory",5
"Python companion to data science, collect - organize - explore - predict - value",0
"Natural product extraction, principles and applications",6
"10th international conference, ICAISC 2010, Zakopane, Poland, June 13 - 17, 2010, part I, Artificial intelligence and soft computing",0
Software tools,0
Mobile Agent-Based Anomaly Detection and Verification System for Smart Home Sensor Networks,0
Contemporary Approaches to Baltic Linguistics,6
"Public policy and economic development, essays in honour of Ian Little",3
Post-Colonial Immigrants and Identity Formations in the Netherlands,3
"Nonverbal communication, the state of the art",0
"Design and Implementation for Advanced Applications, Object-Oriented Database System",0
"Hotspots revisited, [earth's biologically richest and most endangered terrestrial ecoregions]",5
"Comparative Genomics (vol. # 3388), RECOMB 2004 International Workshop, RCG 2004, Bertinoro, Italy, October 16-19, 2004, Revised Selected Papers",5
Bynari Insight Server V4 for Linux on the IBM eserver iSeries Server,0
"A stake in the future, the stakeholding solution",6
Matthew,2
"An Introduction to Object Recognition, Selected Algorithms for a Wide Variety of Applications",0
