Title,Class
"Richterliche Rechtspolitik im Haftungsrecht, eine methodenvergleichende Untersuchung",3
"Methoden und Probleme der Inhaltsanalyse, eine Einführung",3
"Die Selbststrukturierung der Materie, Synergetik in der unbelebten Welt",5
"Kreuzestheologie, eine Auseinandersetzung mit Jürgen Moltmann",2
"Der öffentliche Kosmos, Kunst und wissenschaftliches Ambiente in italienischen Städten des Mittelalters und der Renaissance",7
"Lehrbuch der Internationalen Beziehungen, per Anhalter durch die IB-Galaxis",3
"Unveröffentlichte Texte zur kirchlichen Dogmatik, [1937/38 - 1958]",2
Beiträge zur Darstellungstheorie der Zahlringe,5
"Soziologische Aufklärung als moralische Passion: Pierre Bourdieu, Versuch der Verführung zu einer provozierenden Lektüre",3
Handbuch der Eisenbahngesetzgebung in Preussen und dem Deutschen Reiche,3
"Ehemalige im Kinderdorf, innerseelische Situation und Persönlichkeitsentwickung von Kindern und Jugendlichen in einer Einrichtung der stationären Jugendhilfe",3
"Das Chinabild in der deutschen Literatur, 1871 - 1933, ein Beitrag zur komparatistischen Imagologie",8
"Hydrologie für eine Welt im Wandel, Wasser - Grundlage des Lebens",5
Fallsammlung zum Steuerrecht,3
"Fachdidaktik Spanisch, das Handbuch für Theorie und Praxis",4
"Manet Manet, zwei Bilder im Dialog ; [Le déjeuner, Neue Pinakothek, München, Un bar aux Folies-Bergère, Courtauld Institute of Art Gallery, London ; anlässlich der Ausstellung Edouard Manet, Le déjeuner - Un bar aux Folies-Bergère, Courtauld Institute of Art Gallery, London, 14. Oktober 2004 bis 9. Januar 2005, Neue Pinakothek, München, 20. Januar bis 10. April 2005]",7
"Unsere Revolution, die Geschichte der Jahre 1989/90",9
"Anstöße für die sexualpädagogische Arbeit mit Kindern und Jugendlichen, Sexualität, Macht und Gewalt",3
"Händels Instrumentalmusik, mit einem Werkverzeichnis",7
"Anspielungen, zur Manifestation von Kreativität und Routine in der Sprachverwendung",8
"Aufstand für die Natur, von der Umwelt zur Mitwelt",3
"Düne, Strand und Watt",5
Die Verwalterabrechnung nach dem Wohnungseigentumsgesetz,3
Historischer Umweltatlas Münster,3
"Aufstieg und Niedergang einer antiken Großmacht, Sparta",9
"Heimat in Deggendorf, zur Migrationsgeschichte einer Stadt ; Begleitkatalog zur Ausstellung in der Reihe ""Typisch Deggendorf?"" im Stadtmuseum Deggendorf, 18. April bis 1. August 2010",3
"Beiträge zur weltlichen und geistlichen Lyrik des 13. bis 15. Jahrhunderts, Würzburger Colloquium 1970",8
"Nadelstiche, Sticken in der Kunst der Gegenwart",7
"Reaktionsmöglichkeiten der Gemeinschaft oder der anderen Mitgliedstaaten im Falle der Nichtbefolgung von Urteilen des Europäischen Gerichtshofes durch eine Vertragspartei, Sanktionen gegen vertragsbrüchige Mitgliedstaaten der Europäischen Gemeinschaft (EWG)",3
"Begegnung mit dem Islam, eine Einführung",2
"Medien zur Repräsentation und Konstruktion von Räumen, TopoGraphien der Moderne",7
"1516 - 1797 ; zwischen Isolation und Integration, Juden in Venedig",9
"Geschichte des Welfenfürstentums Grubenhagen, des Amtes und der Stadt Osterode",9
"Heinrich Heine im Spannungsfeld von Literatur und Wissenschaft, Symposium anläßlich der Benennung der Universität Düsseldorf nach Heinrich Heine",8
"Aspekte seines Werkes, Spuren seiner Wirkung, Bertolt Brecht",8
Chaos in dynamischen Systemen,5
Geschichte der abendländischen Bibliotheken,0
"1914 - 1918, Britische Propaganda im Ersten Weltkrieg",9
"Katastrophen, Triebkraft der Evolution",5
"Anwaltsstrategien bei der Vertragsgestaltung, Grundlagen, wichtige Klauseln, Formulierungsbeispiele und Checklisten",3
"Die Schwestern des Ikarus, Frau und Flug ; [anlässlich der Ausstellung ""Die Schwestern des Ikarus - Frau und Flug"", die vom 04. Juni bis 26. September 2004 im Zeppelin-Museum Friedrichshafen gezeigt wird]",3
Wohnungskosten und ökonomische Situation der Haushalte,3
"Geld als Instrument europäischer Machtpolitik im Zeitalter des Merkantilismus, Studien zu den finanziellen und politischen Beziehungen der Wittelsbacher Territorien Kurbayern, Kurpfalz und Kurköln mit Frankreich und dem Kaiser von 1715 bis 1740",3
Die Universität Padua und ihre fränkischen Besucher im 15. Jahrhundert eine prosopographisch-personengeschichtliche Untersuchung,9
"Regionale Konjunkturschwankungen, eine empirische Analyse der Bundesrepublik Deutschland 1950 - 1974",3
Wetter- und Korrosionsschutz,6
"Geschlechterstudien im deutschsprachigen Raum, Studiengänge, Erfahrungen, Herausforderungen ; Dokumentation der gleichnamigen Tagung vom 4. - 5. Juli 2003",3
Nachdenken über das 20. Jahrhundert,9
"Abschied von der Binnenmodernisierung?, Kommunen zwischen Wettbewerb und Kooperation",3
"Investitionen, Unsicherheit und Realoptionen",3
Finanzierung und Finanzplanung,6
"Grundlagen eines öffentlichen Kulturrechts in Deutschland, Kultur und staatliches Handeln",3
Romeis Mikroskopische Technik,5
"Gerhard Richter. Abstrakte Bilder, [diese Publikation erscheint anlässlich der Ausstellung ""Gerhard Richter. Abstrakte Bilder"", Museum Ludwig, Köln, 18. Oktober 2008 bis 1. Februar 2009, Haus der Kunst, München, 27. Februar bis 17. Mai 2009]",7
"Die Universität zwischen Ökonomisierung und Militarisierung?, Zur Sinnkrise in den Wissenschaften",3
"Bausteine zu einer Pastoraltheologie, Seelsorge - eine attraktive Aufgabe",2
"Bildungsbürgerrecht, Erziehung als soziales Unternehmen",3
Das Reden vom einen Gott bei Juden und Christen,2
Die Zukunft des Föderalismus in Deutschland und Europa.,3
Die Steine,5
"Alfred Döblin, Autonomie und Bindung ; Untersuchungen zu Werk und Person bis 1933",8
"(1. Teil), Lateran V und Trient",2
Der anthropologische Ansatz in der Theologie Karl Rahners,2
"Das Recht als Rahmen für Literatur und Kunst, Tagung im Nordkolleg Rendsburg vom 4. bis 6. September 2015",3
"Narziß und Narzißmus im Spiegel von Literatur, bildender Kunst und Psychoanalyse, vom Mythos zur leeren Selbstinszenierung",7
Andalusien zwischen Vorgeschichte und Mittelalter,9
